==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='market1501', eval_step=-1, evaluate=False, gamma=0.1, gpu_devices='0', height=256, htri_only=False, labelsmooth=False, lr=0.0002, margin=0.3, max_epoch=10, num_instances=4, optim='adam', print_freq=10, reranking=False, resume='', root='/home/prj/data', save_dir='./log/softmax', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=20, test_batch=32, test_distance='global', train_batch=32, unaligned=False, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=4)
==========
Currently using GPU 0
Initializing dataset market1501
=> Market1501 loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    19732
  ------------------------------
  total    |  1501 |    36036
  ------------------------------
Initializing model: resnet50
Model size: 25.04683M
=================> Start training
Epoch: [5][70/404]	Time 0.207 (0.211)	Data 0.009 (0.014)	Loss 0.2433 (0.3261)	
Epoch: [5][80/404]	Time 0.206 (0.210)	Data 0.009 (0.013)	Loss 0.4173 (0.3223)	
Epoch: [5][90/404]	Time 0.207 (0.210)	Data 0.009 (0.013)	Loss 0.4500 (0.3173)	
Epoch: [5][100/404]	Time 0.205 (0.209)	Data 0.009 (0.012)	Loss 0.3776 (0.3120)	
Epoch: [5][110/404]	Time 0.207 (0.209)	Data 0.009 (0.012)	Loss 0.1771 (0.3107)	
Epoch: [5][120/404]	Time 0.206 (0.209)	Data 0.009 (0.012)	Loss 0.2961 (0.3091)	
Epoch: [5][130/404]	Time 0.204 (0.209)	Data 0.009 (0.012)	Loss 0.2515 (0.3098)	
Epoch: [5][140/404]	Time 0.206 (0.209)	Data 0.009 (0.012)	Loss 0.2689 (0.3074)	
Epoch: [5][150/404]	Time 0.205 (0.208)	Data 0.009 (0.011)	Loss 0.2009 (0.3058)	
Epoch: [5][160/404]	Time 0.207 (0.208)	Data 0.009 (0.011)	Loss 0.1859 (0.3056)	
Epoch: [5][170/404]	Time 0.206 (0.208)	Data 0.009 (0.011)	Loss 0.3186 (0.3032)	
Epoch: [5][180/404]	Time 0.208 (0.208)	Data 0.009 (0.011)	Loss 0.3426 (0.3006)	
Epoch: [5][190/404]	Time 0.206 (0.208)	Data 0.009 (0.011)	Loss 0.2551 (0.2978)	
Epoch: [5][200/404]	Time 0.206 (0.208)	Data 0.009 (0.011)	Loss 0.2519 (0.2973)	
Epoch: [5][210/404]	Time 0.206 (0.208)	Data 0.009 (0.011)	Loss 0.2256 (0.2970)	
Epoch: [5][220/404]	Time 0.207 (0.208)	Data 0.009 (0.011)	Loss 0.2766 (0.2946)	
Epoch: [5][230/404]	Time 0.206 (0.208)	Data 0.009 (0.011)	Loss 0.1971 (0.2944)	
Epoch: [5][240/404]	Time 0.206 (0.208)	Data 0.009 (0.011)	Loss 0.2220 (0.2923)	
Epoch: [5][250/404]	Time 0.207 (0.207)	Data 0.009 (0.011)	Loss 0.3042 (0.2923)	
Epoch: [5][260/404]	Time 0.207 (0.207)	Data 0.009 (0.011)	Loss 0.3752 (0.2931)	
Epoch: [5][270/404]	Time 0.206 (0.207)	Data 0.009 (0.010)	Loss 0.1932 (0.2919)	
Epoch: [5][280/404]	Time 0.207 (0.207)	Data 0.009 (0.010)	Loss 0.4055 (0.2922)	
Epoch: [5][290/404]	Time 0.207 (0.207)	Data 0.009 (0.010)	Loss 0.2321 (0.2936)	
Epoch: [5][300/404]	Time 0.205 (0.207)	Data 0.009 (0.010)	Loss 0.3784 (0.2953)	
Epoch: [5][310/404]	Time 0.206 (0.207)	Data 0.009 (0.010)	Loss 0.2139 (0.2967)	
Epoch: [5][320/404]	Time 0.205 (0.207)	Data 0.009 (0.010)	Loss 0.3475 (0.2970)	
Epoch: [5][330/404]	Time 0.206 (0.207)	Data 0.009 (0.010)	Loss 0.1414 (0.2963)	
Epoch: [5][340/404]	Time 0.205 (0.207)	Data 0.009 (0.010)	Loss 0.1981 (0.2944)	
Epoch: [5][350/404]	Time 0.207 (0.207)	Data 0.009 (0.010)	Loss 0.2492 (0.2934)	
Epoch: [5][360/404]	Time 0.206 (0.207)	Data 0.009 (0.010)	Loss 0.2523 (0.2914)	
Epoch: [5][370/404]	Time 0.206 (0.207)	Data 0.009 (0.010)	Loss 0.1065 (0.2891)	
Epoch: [5][380/404]	Time 0.206 (0.207)	Data 0.009 (0.010)	Loss 0.1584 (0.2872)	
Epoch: [5][390/404]	Time 0.207 (0.207)	Data 0.009 (0.010)	Loss 0.2383 (0.2847)	
Epoch: [5][400/404]	Time 0.212 (0.207)	Data 0.009 (0.010)	Loss 0.1644 (0.2843)	
Epoch: [6][10/404]	Time 0.212 (0.243)	Data 0.009 (0.045)	Loss 0.2610 (0.2401)	
Epoch: [6][20/404]	Time 0.209 (0.224)	Data 0.010 (0.027)	Loss 0.1321 (0.2145)	
Epoch: [6][30/404]	Time 0.208 (0.218)	Data 0.009 (0.021)	Loss 0.2223 (0.2175)	
Epoch: [6][40/404]	Time 0.207 (0.215)	Data 0.009 (0.018)	Loss 0.3322 (0.2301)	
Epoch: [6][50/404]	Time 0.207 (0.213)	Data 0.009 (0.017)	Loss 0.4130 (0.2384)	
Epoch: [6][60/404]	Time 0.205 (0.212)	Data 0.009 (0.015)	Loss 0.3738 (0.2406)	
Epoch: [6][70/404]	Time 0.206 (0.211)	Data 0.009 (0.015)	Loss 0.1351 (0.2375)	
Epoch: [6][80/404]	Time 0.206 (0.210)	Data 0.009 (0.014)	Loss 0.2220 (0.2325)	
Epoch: [6][90/404]	Time 0.206 (0.210)	Data 0.009 (0.013)	Loss 0.1964 (0.2301)	
Epoch: [6][100/404]	Time 0.205 (0.210)	Data 0.009 (0.013)	Loss 0.2998 (0.2258)	
Epoch: [6][110/404]	Time 0.206 (0.209)	Data 0.009 (0.013)	Loss 0.1816 (0.2248)	
Epoch: [6][120/404]	Time 0.207 (0.209)	Data 0.009 (0.012)	Loss 0.2304 (0.2268)	
Epoch: [6][130/404]	Time 0.207 (0.209)	Data 0.009 (0.012)	Loss 0.1767 (0.2266)	
Epoch: [6][140/404]	Time 0.207 (0.208)	Data 0.009 (0.012)	Loss 0.1440 (0.2255)	
Epoch: [6][150/404]	Time 0.206 (0.208)	Data 0.009 (0.012)	Loss 0.2146 (0.2258)	
Epoch: [6][160/404]	Time 0.205 (0.208)	Data 0.009 (0.012)	Loss 0.1687 (0.2264)	
Epoch: [6][170/404]	Time 0.205 (0.208)	Data 0.009 (0.011)	Loss 0.2867 (0.2255)	
